Title,Year,Runtime,Genre,imdbRating,imdbVotes
Sherlock Holmes,2009,128 min,"Action, Adventure, Crime",7.6,"503,902"
Watchmen,2009,162 min,"Action, Drama, Mystery",7.6,"412,510"
Zombieland,2009,88 min,"Adventure, Comedy, Horror",7.7,"411,455"
500 Days of Summer,2009,95 min,"Comedy, Drama, Romance",7.7,"401,623"
Harry Potter and the Half-Blood Prince,2009,153 min,"Adventure, Family, Fantasy",7.5,"352,477"
Up in the Air,2009,109 min,"Drama, Romance",7.4,"280,415"
Moon,2009,97 min,"Drama, Mystery, Sci-Fi",7.9,"278,441"
3 Idiots,2009,170 min,"Adventure, Comedy, Drama",8.4,"242,305"
Public Enemies,2009,140 min,"Biography, Crime, Drama",7,"241,442"
The Blind Side,2009,129 min,"Biography, Drama, Sport",7.7,"237,547"
Law Abiding Citizen,2009,109 min,"Crime, Drama, Thriller",7.4,"228,907"
The Road,2009,111 min,"Adventure, Drama",7.3,"188,645"
Hachi: A Dog's Tale,2009,93 min,"Drama, Family",8.1,"179,414"
Ice Age: Dawn of the Dinosaurs,2009,94 min,"Animation, Action, Adventure",7,"178,883"
"I Love You, Man",2009,105 min,"Comedy, Romance",7,"172,998"
Cloudy with a Chance of Meatballs,2009,90 min,"Animation, Adventure, Comedy",7,"164,133"
Coraline,2009,100 min,"Animation, Family, Fantasy",7.7,"157,498"
Orphan,2009,123 min,"Horror, Mystery, Thriller",7,"154,511"
Fantastic Mr. Fox,2009,87 min,"Animation, Adventure, Comedy",7.8,"149,995"
The Secret in Their Eyes,2009,129 min,"Drama, Mystery, Romance",8.2,"145,345"
Invictus,2009,134 min,"Biography, Drama, History",7.4,"130,698"
Mary and Max,2009,92 min,"Animation, Comedy, Drama",8.2,"129,873"
The Time Traveler's Wife,2009,107 min,"Drama, Fantasy, Romance",7.1,"121,403"
State of Play,2009,127 min,"Drama, Mystery, Thriller",7.1,"117,692"
An Education,2009,100 min,Drama,7.3,"116,244"
9,2009,79 min,"Animation, Action, Adventure",7.1,"116,042"
A Serious Man,2009,106 min,"Comedy, Drama",7,"108,891"
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8,"1,592,306"
Shutter Island,2010,138 min,"Mystery, Thriller",8.1,"862,078"
Toy Story 3,2010,103 min,"Animation, Adventure, Comedy",8.3,"589,975"
Black Swan,2010,108 min,"Drama, Thriller",8,"583,669"
Iron Man 2,2010,124 min,"Action, Adventure, Sci-Fi",7,"559,473"
The King's Speech,2010,118 min,"Biography, Drama",8,"537,662"
How to Train Your Dragon,2010,98 min,"Animation, Action, Adventure",8.1,"528,657"
The Social Network,2010,120 min,"Biography, Drama",7.7,"514,092"
Kick-Ass,2010,117 min,"Action, Comedy",7.7,"457,632"
Despicable Me,2010,95 min,"Animation, Adventure, Comedy",7.7,"412,633"
Tangled,2010,100 min,"Animation, Adventure, Comedy",7.8,"319,367"
Easy A,2010,92 min,"Comedy, Drama, Romance",7.1,"296,357"
The Town,2010,125 min,"Crime, Drama, Thriller",7.6,"296,173"
127 Hours,2010,94 min,"Adventure, Biography, Drama",7.6,"295,290"
Scott Pilgrim vs. the World,2010,112 min,"Action, Comedy, Fantasy",7.5,"292,871"
The Fighter,2010,116 min,"Action, Biography, Drama",7.8,"290,732"
True Grit,2010,110 min,"Adventure, Drama, Western",7.6,"255,915"
RED,2010,111 min,"Action, Comedy, Crime",7.1,"251,545"
Megamind,2010,95 min,"Animation, Action, Comedy",7.3,"185,307"
The Next Three Days,2010,133 min,"Crime, Drama, Romance",7.4,"153,402"
Blue Valentine,2010,112 min,"Drama, Romance",7.4,"152,372"
The Ghost Writer,2010,128 min,"Mystery, Thriller",7.2,"138,390"
Tucker and Dale vs Evil,2010,89 min,"Comedy, Horror",7.6,"137,551"
Buried,2010,95 min,"Drama, Mystery, Thriller",7,"125,244"
Remember Me,2010,113 min,"Drama, Romance",7.2,"119,926"
Winter's Bone,2010,100 min,Drama,7.2,"116,811"
Never Let Me Go,2010,103 min,"Drama, Romance, Sci-Fi",7.2,"116,640"
The Kids Are All Right,2010,106 min,"Comedy, Drama, Romance",7.1,"114,678"
It's Kind of a Funny Story,2010,101 min,"Comedy, Drama, Romance",7.1,"113,842"
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Drama, Fantasy",8.1,"594,362"
Thor,2011,115 min,"Action, Adventure, Fantasy",7,"574,249"
The Intouchables,2011,112 min,"Biography, Comedy, Drama",8.6,"562,601"
X-Men: First Class,2011,132 min,"Action, Adventure, Sci-Fi",7.8,"552,225"
Drive,2011,100 min,"Crime, Drama",7.8,"464,890"
Rise of the Planet of the Apes,2011,105 min,"Action, Drama, Sci-Fi",7.6,"424,091"
Source Code,2011,93 min,"Mystery, Romance, Sci-Fi",7.5,"408,045"
"Crazy, Stupid, Love.",2011,118 min,"Comedy, Drama, Romance",7.4,"398,352"
Mission: Impossible - Ghost Protocol,2011,132 min,"Action, Adventure, Thriller",7.4,"383,878"
Sherlock Holmes: A Game of Shadows,2011,129 min,"Action, Adventure, Crime",7.5,"359,900"
Warrior,2011,140 min,"Action, Drama, Sport",8.2,"358,261"
The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",7.8,"350,508"
The Help,2011,146 min,Drama,8.1,"344,326"
Midnight in Paris,2011,94 min,"Comedy, Fantasy, Romance",7.7,"321,926"
Fast Five,2011,131 min,"Action, Crime, Thriller",7.3,"301,871"
Super 8,2011,112 min,"Mystery, Sci-Fi, Thriller",7.1,"299,923"
Moneyball,2011,133 min,"Biography, Drama, Sport",7.6,"298,780"
50/50,2011,100 min,"Comedy, Drama, Romance",7.7,"283,110"
Real Steel,2011,127 min,"Action, Drama, Family",7.1,"265,876"
Hugo,2011,126 min,"Adventure, Drama, Family",7.5,"260,429"
The Descendants,2011,115 min,"Comedy, Drama",7.3,"212,135"
The Adjustment Bureau,2011,106 min,"Romance, Sci-Fi, Thriller",7.1,"209,145"
Paul,2011,104 min,"Adventure, Comedy, Sci-Fi",7,"202,553"
The Artist,2011,100 min,"Comedy, Drama, Romance",7.9,"200,384"
Kung Fu Panda 2,2011,90 min,"Animation, Action, Adventure",7.3,"198,880"
The Ides of March,2011,101 min,Drama,7.1,"196,877"
Rango,2011,107 min,"Animation, Adventure, Comedy",7.2,"195,534"
The Adventures of Tintin,2011,107 min,"Animation, Action, Adventure",7.4,"185,812"
The Lincoln Lawyer,2011,118 min,"Crime, Drama, Thriller",7.3,"182,243"
A Separation,2011,123 min,"Drama, Mystery",8.4,"166,787"
The Raid: Redemption,2011,101 min,"Action, Crime, Thriller",7.6,"157,895"
Tinker Tailor Soldier Spy,2011,122 min,"Drama, Mystery, Thriller",7.1,"157,843"
Shame,2011,101 min,Drama,7.2,"155,770"
Melancholia,2011,135 min,Drama,7.1,"137,623"
War Horse,2011,146 min,"Drama, War",7.2,"122,940"
We Bought a Zoo,2011,124 min,"Comedy, Drama, Family",7.1,"117,368"
One Day,2011,107 min,"Drama, Romance",7,"114,390"
We Need to Talk About Kevin,2011,112 min,"Drama, Mystery, Thriller",7.5,"105,858"
Carnage,2011,80 min,"Comedy, Drama",7.2,"102,050"
The Dark Knight Rises,2012,164 min,"Action, Thriller",8.5,"1,228,378"
The Avengers,2012,143 min,"Action, Sci-Fi",8.1,"1,051,143"
Django Unchained,2012,165 min,"Drama, Western",8.4,"1,047,465"
The Hunger Games,2012,142 min,"Adventure, Sci-Fi, Thriller",7.2,"739,614"
The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",7.9,"672,505"
Silver Linings Playbook,2012,122 min,"Comedy, Drama, Romance",7.8,"567,777"
Skyfall,2012,143 min,"Action, Adventure, Thriller",7.8,"549,749"
Ted,2012,106 min,"Comedy, Fantasy",7,"495,954"
Prometheus,2012,124 min,"Adventure, Mystery, Sci-Fi",7,"490,632"
Argo,2012,120 min,"Biography, Drama, History",7.7,"484,485"
The Amazing Spider-Man,2012,136 min,"Action, Adventure",7,"476,542"
Life of Pi,2012,127 min,"Adventure, Drama, Fantasy",7.9,"472,562"
Looper,2012,113 min,"Action, Crime, Drama",7.4,"455,850"
21 Jump Street,2012,110 min,"Action, Comedy, Crime",7.2,"434,025"
The Perks of Being a Wallflower,2012,102 min,"Drama, Romance",8,"378,382"
Cloud Atlas,2012,172 min,"Drama, Sci-Fi",7.5,"299,591"
The Cabin in the Woods,2012,95 min,Horror,7,"296,912"
Brave,2012,93 min,"Animation, Adventure, Comedy",7.2,"295,710"
Wreck-It Ralph,2012,101 min,"Animation, Adventure, Comedy",7.8,"292,721"
Flight,2012,138 min,"Drama, Thriller",7.3,"277,343"
Les Misacrables,2012,158 min,"Drama, Musical, Romance",7.6,"258,570"
Moonrise Kingdom,2012,94 min,"Adventure, Comedy, Drama",7.8,"256,254"
Jack Reacher,2012,130 min,"Action, Crime, Mystery",7,"252,008"
Pitch Perfect,2012,112 min,"Comedy, Music, Romance",7.2,"228,409"
Zero Dark Thirty,2012,157 min,"Drama, History, Thriller",7.4,"227,296"
Dredd,2012,95 min,"Action, Sci-Fi",7.1,"215,087"
Chronicle,2012,84 min,"Sci-Fi, Thriller",7.1,"213,740"
Lincoln,2012,150 min,"Biography, Drama, History",7.4,"208,951"
The Place Beyond the Pines,2012,140 min,"Crime, Drama, Thriller",7.3,"201,893"
Seven Psychopaths,2012,110 min,"Comedy, Crime",7.2,"197,693"
The Hunt,2012,115 min,Drama,8.3,"194,271"
End of Watch,2012,109 min,"Crime, Drama, Thriller",7.7,"193,496"
Hotel Transylvania,2012,91 min,"Animation, Comedy, Family",7.1,"176,997"
The Impossible,2012,114 min,"Drama, Thriller",7.6,"157,735"
Mud,2012,130 min,Drama,7.4,"143,416"
Rise of the Guardians,2012,97 min,"Animation, Adventure, Family",7.3,"131,528"
The Master,2012,144 min,Drama,7.1,"113,355"
Safety Not Guaranteed,2012,86 min,"Comedy, Drama, Romance",7,"105,360"
The Wolf of Wall Street,2013,180 min,"Biography, Comedy, Crime",8.2,"874,371"
Gravity,2013,91 min,"Drama, Sci-Fi, Thriller",7.8,"625,195"
Iron Man 3,2013,130 min,"Action, Adventure, Sci-Fi",7.2,"594,224"
Man of Steel,2013,143 min,"Action, Adventure, Fantasy",7.1,"582,519"
The Hunger Games: Catching Fire,2013,146 min,"Action, Adventure, Mystery",7.6,"529,219"
The Hobbit: The Desolation of Smaug,2013,161 min,"Adventure, Fantasy",7.9,"517,794"
World War Z,2013,116 min,"Action, Adventure, Horror",7,"497,654"
Now You See Me,2013,115 min,"Crime, Mystery, Thriller",7.3,"494,158"
12 Years a Slave,2013,134 min,"Biography, Drama, History",8.1,"490,387"
Frozen,2013,102 min,"Animation, Adventure, Comedy",7.5,"454,377"
Thor: The Dark World,2013,112 min,"Action, Adventure, Fantasy",7,"446,120"
Prisoners,2013,153 min,"Crime, Drama, Mystery",8.1,"436,571"
Star Trek Into Darkness,2013,132 min,"Action, Adventure, Sci-Fi",7.8,"419,560"
Oblivion,2013,124 min,"Action, Adventure, Mystery",7,"413,028"
Pacific Rim,2013,131 min,"Action, Adventure, Sci-Fi",7,"401,967"
Her,2013,126 min,"Drama, Romance, Sci-Fi",8,"393,292"
The Great Gatsby,2013,143 min,"Drama, Romance",7.3,"387,343"
American Hustle,2013,138 min,"Crime, Drama",7.3,"380,347"
Dallas Buyers Club,2013,117 min,"Biography, Drama",8,"354,455"
Captain Phillips,2013,134 min,"Biography, Drama, Thriller",7.8,"347,204"
Rush,2013,123 min,"Action, Biography, Drama",8.1,"341,336"
We're the Millers,2013,110 min,"Comedy, Crime",7,"336,033"
The Conjuring,2013,112 min,"Horror, Mystery, Thriller",7.5,"334,065"
Despicable Me 2,2013,98 min,"Animation, Adventure, Comedy",7.4,"308,397"
Monsters University,2013,104 min,"Animation, Adventure, Comedy",7.3,"252,925"
The Secret Life of Walter Mitty,2013,114 min,"Adventure, Comedy, Drama",7.3,"250,549"
About Time,2013,123 min,"Comedy, Drama, Fantasy",7.8,"223,004"
Lone Survivor,2013,121 min,"Action, Biography, Drama",7.5,"220,069"
The World's End,2013,109 min,"Action, Comedy, Sci-Fi",7,"201,547"
Snowpiercer,2013,126 min,"Action, Drama, Sci-Fi",7,"200,269"
Blue Jasmine,2013,98 min,Drama,7.3,"161,666"
The Croods,2013,98 min,"Animation, Adventure, Comedy",7.2,"160,543"
Side Effects,2013,106 min,"Crime, Drama, Thriller",7.1,"155,457"
Saving Mr. Banks,2013,125 min,"Biography, Comedy, Drama",7.5,"126,210"
The Way Way Back,2013,103 min,"Comedy, Drama",7.4,"121,916"
The Spectacular Now,2013,95 min,"Comedy, Drama, Romance",7.1,"117,003"
Begin Again,2013,104 min,"Drama, Music",7.4,"112,713"
The Book Thief,2013,131 min,"Drama, War",7.6,"107,159"
Inside Llewyn Davis,2013,104 min,"Drama, Music",7.4,"106,347"
Before Midnight,2013,109 min,"Drama, Romance",7.9,"105,741"
Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.6,"1,057,411"
Guardians of the Galaxy,2014,121 min,"Action, Adventure, Sci-Fi",8.1,"768,444"
Gone Girl,2014,149 min,"Crime, Drama, Mystery",8.1,"640,332"
X-Men: Days of Future Past,2014,132 min,"Action, Adventure, Sci-Fi",8,"557,975"
Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi",7.8,"546,650"
The Grand Budapest Hotel,2014,99 min,"Adventure, Comedy, Drama",8.1,"537,323"
The Imitation Game,2014,114 min,"Biography, Drama, Thriller",8.1,"535,118"
Whiplash,2014,107 min,"Drama, Music",8.5,"485,079"
Edge of Tomorrow,2014,113 min,"Action, Adventure, Sci-Fi",7.9,"475,969"
Birdman,2014,119 min,"Comedy, Drama",7.8,"445,063"
The Hobbit: The Battle of the Five Armies,2014,144 min,"Adventure, Fantasy",7.4,"388,854"
American Sniper,2014,133 min,"Action, Biography, Drama",7.3,"355,398"
Ex Machina,2014,108 min,"Drama, Mystery, Sci-Fi",7.7,"344,887"
Dawn of the Planet of the Apes,2014,130 min,"Action, Adventure, Drama",7.6,"338,880"
Fury,2014,134 min,"Action, Drama, War",7.6,"335,014"
Nightcrawler,2014,118 min,"Crime, Drama, Thriller",7.9,"334,668"
Big Hero 6,2014,102 min,"Animation, Action, Adventure",7.8,"312,030"
The Theory of Everything,2014,123 min,"Biography, Drama, Romance",7.7,"302,106"
Boyhood,2014,165 min,Drama,7.9,"288,375"
22 Jump Street,2014,112 min,"Action, Comedy, Crime",7.1,"283,184"
The Fault in Our Stars,2014,126 min,"Drama, Romance",7.8,"272,458"
Maleficent,2014,97 min,"Action, Adventure, Family",7,"270,950"
The Lego Movie,2014,100 min,"Animation, Action, Adventure",7.8,"269,471"
The Equalizer,2014,132 min,"Action, Crime, Thriller",7.2,"251,100"
How to Train Your Dragon 2,2014,102 min,"Animation, Action, Adventure",7.9,"239,284"
Non-Stop,2014,106 min,"Action, Mystery, Thriller",7,"212,862"
The Judge,2014,141 min,"Crime, Drama",7.4,"147,323"
Unbroken,2014,137 min,"Biography, Drama, Sport",7.2,"115,148"
Wild Tales,2014,122 min,"Comedy, Drama, Thriller",8.1,"112,743"
PK,2014,153 min,"Comedy, Drama, Fantasy",8.2,"104,636"
Star Wars: The Force Awakens,2015,136 min,"Action, Adventure, Fantasy",8.1,"665,521"
Mad Max: Fury Road,2015,120 min,"Action, Adventure, Sci-Fi",8.1,"638,510"
The Martian,2015,144 min,"Adventure, Drama, Sci-Fi",8,"560,864"
Avengers: Age of Ultron,2015,141 min,"Action, Adventure, Sci-Fi",7.4,"521,903"
The Revenant,2015,156 min,"Adventure, Drama, Thriller",8,"504,647"
Jurassic World,2015,124 min,"Action, Adventure, Sci-Fi",7,"458,076"
Inside Out,2015,95 min,"Animation, Adventure, Comedy",8.2,"421,211"
Ant-Man,2015,117 min,"Action, Adventure, Comedy",7.3,"373,236"
The Hateful Eight,2015,187 min,"Crime, Drama, Mystery",7.8,"346,887"
Furious 7,2015,137 min,"Action, Crime, Thriller",7.2,"304,124"
Spotlight,2015,128 min,"Crime, Drama, History",8.1,"274,216"
Mission: Impossible - Rogue Nation,2015,131 min,"Action, Adventure, Thriller",7.4,"259,408"
The Big Short,2015,130 min,"Biography, Comedy, Drama",7.8,"249,083"
Sicario,2015,121 min,"Action, Crime, Drama",7.6,"246,002"
Room,2015,118 min,Drama,8.2,"226,372"
Bridge of Spies,2015,142 min,"Drama, History, Thriller",7.6,"220,735"
The Man from U.N.C.L.E.,2015,116 min,"Action, Adventure, Comedy",7.3,"206,575"
Creed,2015,133 min,"Drama, Sport",7.6,"177,094"
Southpaw,2015,124 min,"Drama, Sport",7.4,"170,754"
The Intern,2015,121 min,"Comedy, Drama",7.1,"160,864"
Everest,2015,121 min,"Action, Adventure, Drama",7.1,"156,999"
Straight Outta Compton,2015,147 min,"Biography, Drama, History",7.9,"141,743"
Cinderella,2015,105 min,"Drama, Family, Fantasy",7,"118,609"
Steve Jobs,2015,122 min,"Biography, Drama",7.2,"117,005"
The Age of Adaline,2015,112 min,"Drama, Fantasy, Romance",7.2,"114,501"
Legend,2015,132 min,"Biography, Crime, Drama",7,"110,600"
Deadpool,2016,108 min,"Action, Adventure, Comedy",8,"644,281"
Captain America: Civil War,2016,147 min,"Action, Adventure, Sci-Fi",7.9,"417,490"
Arrival,2016,116 min,"Drama, Mystery, Sci-Fi",8,"351,380"
Zootopia,2016,108 min,"Animation, Adventure, Comedy",8.1,"304,299"
X-Men: Apocalypse,2016,144 min,"Action, Adventure, Sci-Fi",7.1,"285,476"
La La Land,2016,128 min,"Comedy, Drama, Music",8.2,"272,059"
Hacksaw Ridge,2016,139 min,"Biography, Drama, History",8.2,"221,901"
Passengers,2016,116 min,"Adventure, Drama, Romance",7,"211,731"
The Jungle Book,2016,106 min,"Adventure, Drama, Family",7.5,"201,953"
10 Cloverfield Lane,2016,104 min,"Drama, Horror, Mystery",7.2,"196,973"
Warcraft: The Beginning,2016,123 min,"Action, Adventure, Fantasy",7,"190,505"
Star Trek Beyond,2016,122 min,"Action, Adventure, Sci-Fi",7.1,"171,483"
The Conjuring 2,2016,134 min,"Horror, Mystery, Thriller",7.4,"139,613"
Me Before You,2016,106 min,"Drama, Romance",7.4,"117,145"
Lion,2016,118 min,"Biography, Drama",8.1,"113,296"
Logan,2017,137 min,"Action, Drama, Sci-Fi",8.3,"316,354"
Guardians of the Galaxy Vol. 2,2017,136 min,"Action, Adventure, Sci-Fi",8.1,"175,272"
Beauty and the Beast,2017,129 min,"Family, Fantasy, Musical",7.5,"137,981"
